Temperature (C),density (kg/m^3),Cp (kJ/kg.K),k (W/m.K),nu (m^2/s),beta (1/K),Pr
100,3.5562,1.032,9.34,2,0.01,0.786
150,2.3364,1.012,13.8,4.426,0.006666667,0.758
200,1.7458,1.007,18.1,7.59,0.005,0.737
250,1.3947,1.006,22.3,11.44,0.004,0.72
300,1.1614,1.007,26.3,15.89,0.003333333,0.707
350,0.995,1.009,30,20.92,0.002857143,0.7
400,0.8711,1.014,33.8,26.41,0.0025,0.69
450,0.774,1.021,37.3,32.39,0.002222222,0.686
500,0.6964,1.03,40.7,38.79,0.002,0.684
550,0.6329,1.04,43.9,45.57,0.001818182,0.683
600,0.5804,1.051,46.9,52.69,0.001666667,0.685
650,0.5356,1.063,49.7,60.21,0.001538462,0.69
700,0.4975,1.075,52.4,68.1,0.001428571,0.695
750,0.4643,1.087,54.9,76.37,0.001333333,0.702
800,0.4354,1.099,57.3,84.93,0.00125,0.709
850,0.4097,1.11,59.6,93.8,0.001176471,0.716
900,0.3868,1.121,62,102.9,0.001111111,0.72
950,0.3666,1.131,64.3,112.2,0.001052632,0.723
1000,0.3482,1.141,66.7,121.9,0.001,0.726
1100,0.3166,1.159,71.5,141.8,0.000909091,0.728
1200,0.2902,1.175,76.3,162.9,0.000833333,0.728
1300,0.2679,1.189,82,185.1,0.000769231,0.719
1400,0.2488,1.207,91,213,0.000714286,0.703
1500,0.2322,1.23,100,240,0.000666667,0.685
1600,0.2177,1.248,106,268,0.000625,0.688
1700,0.2049,1.267,113,298,0.000588235,0.685
1800,0.1935,1.286,120,329,0.000555556,0.683
1900,0.1833,1.307,128,362,0.000526316,0.677
2000,0.1741,1.337,137,396,0.0005,0.672
2100,0.1658,1.372,147,431,0.00047619,0.667
2200,0.1582,1.417,160,468,0.000454545,0.655
2300,0.1513,1.478,175,506,0.000434783,0.647
2400,0.1448,1.558,196,547,0.000416667,0.63
2500,0.1389,1.665,222,589,0.0004,0.613
3000,0.1135,2.726,486,841,0.000333333,0.536
